Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
ppiC	BW25113_RS19605	3952892	3953173	peptidyl-prolyl <i>cis-trans</i> isomerase C
ldhA	BW25113_RS07245	1436111	1437100	D-lactate dehydrogenase
RS03025	BW25113_RS03025	603521	604633	IS4-like element IS421 family transposase
RS16250	BW25113_RS16250	3274060	3274431	PTS sugar transporter subunit IIC
hcxB	BW25113_RS04160	831807	832892	hydroxycarboxylate dehydrogenase B
prfC	BW25113_RS22780	4599231	4600820	peptide chain release factor RF3
yjdF	BW25113_RS21405	4334746	4335375	DUF2238 domain-containing inner membrane protein YjdF
ybeY	BW25113_RS03420	687330	687797	endoribonuclease YbeY
yiaF	BW25113_RS18440	3711694	3712404	DUF3053 domain-containing protein YiaF
ybhS	BW25113_RS04120	821575	822708	ABC exporter membrane subunit YbhS
flxA	BW25113_RS08210	1640662	1640994	Qin prophage; PF14282 family protein FlxA
gadB	BW25113_RS07825	1564902	1566302	glutamate decarboxylase B
purK	BW25113_RS02680	546983	548050	5-(carboxyamino)imidazole ribonucleotide synthase
rrrD	BW25113_RS02865	573069	573566	DLP12 prophage; lysozyme
rraB	BW25113_RS22090	4468290	4468706	ribonuclease E inhibitor protein B
RS22235	BW25113_RS22235	4497014	4497271	transposase
secF	BW25113_RS02115	424961	425932	Sec translocon accessory complex subunit SecF
RS26025	BW25113_RS26025	4521713	4521829	VOC family protein
phnJ	BW25113_RS21285	4308578	4309423	carbon-phosphorus lyase core complex subunit PhnJ
tuf	BW25113_RS20650	4165872	4167056	elongation factor Tu
yidX	BW25113_RS19210	3868798	3869454	putative lipoprotein YidX
yagE	BW25113_RS01375	277989	278897	CP4-6 prophage; 2-dehydro-3-deoxygluconate aldolase
RS01915	BW25113_RS01915	385707	387167	hypothetical protein
yihR	BW25113_RS20130	4062835	4063737	putative sulfoquinovose mutarotase YihR
wbbL	BW25113_RS10610	2096427	2096870	N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase WbbL
hisB	BW25113_RS10565	2086949	2088016	imidazoleglycerol-phosphate dehydratase / histidinol-phosphatase
rluF	BW25113_RS20865	4220282	4221154	23S rRNA pseudouridine<sup>2604</sup> and tRNA<sup>Tyr</sup> pseudouridine<sup>35</sup> synthase
digH	BW25113_RS07815	1561761	1563080	divisome localized glycosyl hydrolase
usg	BW25113_RS12110	2429115	2430128	putative semialdehyde dehydrogenase Usg
hypA	BW25113_RS14190	2844006	2844356	hydrogenase 3 nickel incorporation protein HypA
exbD	BW25113_RS15600	3144177	3144602	Ton complex subunit ExbD
tatA	BW25113_RS19915	4015305	4015574	twin arginine protein translocation system - TatA protein
ybdZ	BW25113_RS03045	609398	609616	enterobactin biosynthesis protein YbdZ
grxB	BW25113_RS05545	1118863	1119510	reduced glutaredoxin 2
ppnP	BW25113_RS02030	403633	403917	nucleoside phosphorylase PpnP
ahr	BW25113_RS22160	4485007	4486026	NADPH-dependent aldehyde reductase Ahr
glnA	BW25113_RS20080	4049985	4051394	glutamine synthetase
uidA	BW25113_RS08460	1688517	1690328	&beta;-glucuronidase
chaA	BW25113_RS06345	1266205	1267305	Na<sup>+</sup>/K<sup>+</sup>:H<sup>+</sup> antiporter ChaA
RS06005	BW25113_RS06005	1204575	1205069	phage tail protein
bluF	BW25113_RS06040	1209720	1210931	blue light- and temperature-regulated antirepressor BluF
ymgI	BW25113_RS06100	1218446	1218619	uncharacterized protein YmgI
RS23850	BW25113_RS23850	1644335	1645102	exonuclease
gsiD	BW25113_RS04320	867346	868257	glutathione ABC transporter membrane subunit GsiD
yhgE	BW25113_RS17625	3524074	3525798	DUF4153 domain-containing protein
etp	BW25113_RS05100	1039686	1040132	phosphotyrosine-protein phosphatase Etp
bioA	BW25113_RS04020	803424	804713	adenosylmethionine-8-amino-7-oxononanoate aminotransferase
ypeB	BW25113_RS12575	2521300	2521518	PF12843 family protein YpeB
safA	BW25113_RS07865	1578019	1578216	two-component system connector SafA
gpmM	BW25113_RS18760	3778620	3780164	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
yafO	BW25113_RS01180	248788	249186	ribosome-dependent mRNA interferase toxin YafO
ivy	BW25113_RS01115	236857	237303	periplasmic chaperone, inhibitor of vertebrate C-type lysozyme
tnaA	BW25113_RS19280	3882090	3883505	tryptophanase
RS02350	BW25113_RS02350	471438	471749	MGMT family protein
ldrD	BW25113_RS23010	3693340	3693447	small toxic polypeptide LdrD
gss	BW25113_RS15520	3130022	3131881	fused glutathionylspermidine amidase / glutathionylspermidine synthetase
paaD	BW25113_RS07300	1450182	1450679	phenylacetate degradation protein
eutP	BW25113_RS12830	2568337	2568816	putative ethanolamine utilization acetate kinase EutP
rflP	BW25113_RS08935	1785564	1786277	anti-FlhDC factor RflP
ypdC	BW25113_RS12430	2494609	2495466	putative AraC-type DNA-binding transcriptional regulator YpdC
entB	BW25113_RS03095	623150	624007	enterobactin synthase component B
acrE	BW25113_RS16930	3407223	3408380	multidrug efflux pump membrane fusion lipoprotein AcrE
csgB	BW25113_RS05420	1099407	1099862	curlin, minor subunit
pgsA	BW25113_RS10005	1985750	1986298	CDP-diacylglycerol&mdash;glycerol-3-phosphate 3-phosphatidyltransferase
yjdP	BW25113_RS21250	4303685	4304014	protein YjdP
infB	BW25113_RS16425	3306701	3309373	translation initiation factor IF-2
gsk	BW25113_RS02465	495581	496885	inosine/guanosine kinase
iclR	BW25113_RS20845	4212732	4213556	DNA-binding transcriptional repressor IclR
ygfK	BW25113_RS14965	3009419	3012517	putative oxidoreductase, Fe-S subunit
metL	BW25113_RS20440	4119763	4122195	fused aspartate kinase/homoserine dehydrogenase 2
rtcB	BW25113_RS17720	3550212	3551438	RNA-splicing ligase
pdhR	BW25113_RS00565	118579	119343	DNA-binding transcriptional dual regulator PdhR
mukF	BW25113_RS04780	969775	971097	chromosome partitioning protein MukF
tktB	BW25113_RS12850	2572995	2574998	transketolase 2
fhuC	BW25113_RS00760	166265	167062	iron(III) hydroxamate ABC transporter ATP binding subunit
iraD	BW25113_RS22530	4546810	4547202	anti-adaptor protein IraD
prmA	BW25113_RS16900	3402429	3403310	ribosomal protein L11 methyltransferase
pgi	BW25113_RS20880	4223686	4225335	glucose-6-phosphate isomerase
nei	BW25113_RS03695	741391	742182	endonuclease VIII
yieE	BW25113_RS19300	3887241	3887990	putative phosphopantetheinyl transferase
nagK	BW25113_RS05820	1174049	1174960	<i>N</i>-acetyl-D-glucosamine kinase
gspF	BW25113_RS17245	3453176	3454372	type II secretion system protein GspF
hemD	BW25113_RS19755	3982448	3983188	uroporphyrinogen-III synthase
fabF	BW25113_RS05700	1147395	1148636	3-oxoacyl-[acyl carrier protein] synthase 2
cmoM	BW25113_RS04775	968993	969778	tRNA <b>cmo</b><sup>5</sup>U34 methyltransferase
cyuP	BW25113_RS16145	3250038	3251369	L-cysteine importer
yjbT	BW25113_RS25330	4229705	4229983	PF17089 family protein YjbT
argH	BW25113_RS20550	4146778	4148151	argininosuccinate lyase
hfq	BW25113_RS21680	4390105	4390413	RNA-binding protein Hfq
ybgO	BW25113_RS03705	743377	744438	putative fimbrial protein YbgO
fimI	BW25113_RS22450	4533545	4534084	type 1 fimbrial protein
sodA	BW25113_RS20280	4090738	4091358	superoxide dismutase (Mn)
fhuD	BW25113_RS00765	167062	167952	iron(III) hydroxamate ABC transporter periplasmic binding protein
fur	BW25113_RS03520	705656	706102	DNA-binding transcriptional dual regulator Fur
hofQ	BW25113_RS17570	3512824	3514062	DNA utilization protein HofQ
ftnB	BW25113_RS09950	1980406	1980909	putative ferritin-like protein
hns	BW25113_RS06450	1287965	1288378	DNA-binding transcriptional dual regulator H-NS
yjjJ	BW25113_RS22840	4611586	4612917	serine/threonine-protein kinase toxin HipH
talA	BW25113_RS12845	2572025	2572975	transaldolase A
xylB	BW25113_RS18500	3721277	3722731	xylulokinase
tfaP	BW25113_RS05995	1203588	1204001	e14 prophage; putative tail fiber assembly protein TfaP
gfcB	BW25113_RS05120	1044144	1044788	lipoprotein GfcB
asnB	BW25113_RS03475	692969	694633	asparagine synthetase B
yohP	BW25113_RS11160	2222461	2222544	uncharacterized membrane protein YohP
rhmD	BW25113_RS11740	2353688	2354893	L-rhamnonate dehydratase
yedP	BW25113_RS10215	2018992	2019807	putative mannosyl-3-phosphoglycerate phosphatase
flhB	BW25113_RS09855	1959300	1960448	flagellar biosynthesis protein FlhB
yejA	BW25113_RS11365	2265843	2267657	oligopeptide ABC transporter periplasmic binding protein YejA
smrB	BW25113_RS12170	2442085	2442636	ribosome rescue factor SmrB
yecU	BW25113_RS25650	1989136	1989312	protein YecU
yciK	BW25113_RS06620	1322611	1323369	putative oxidoreductase
sieB	BW25113_RS07110	1412928	1413416	Rac prophage; phage superinfection exclusion protein
glnH	BW25113_RS04210	842714	843460	L-glutamine ABC transporter periplasmic binding protein
bioP	BW25113_RS19870	4004436	4005335	biotin transporter
speC	BW25113_RS15400	3100379	3102514	constitutive ornithine decarboxylase
rrf	BW25113_RS16980	3417029	3417144	5S ribosomal RNA
cadA	BW25113_RS21465	4346287	4348434	lysine decarboxylase 1
yhiM	BW25113_RS18080	3628201	3629253	inner membrane protein YhiM
ftsH	BW25113_RS16475	3318360	3320294	ATP-dependent zinc metalloprotease FtsH
RS10485	BW25113_RS10485	2072230	2072412	hypothetical protein
RS25830	BW25113_RS25830	4499693	4499950	hypothetical protein
yhhM	BW25113_RS17950	3598611	3598970	DUF2500 domain-containing protein YhhM
pgrR	BW25113_RS06960	1386248	1387147	DNA-binding transcriptional repressor PgrR
xseA	BW25113_RS13090	2627591	2628961	exodeoxyribonuclease VII subunit XseA
gspE	BW25113_RS17240	3451698	3453179	type II secretion system ATPase GspE
dxs	BW25113_RS02175	433771	435633	1-deoxy-D-xylulose-5-phosphate synthase
RS26015	BW25113_RS26015	3744173	3744274	AraC family transcriptional regulator
katE	BW25113_RS09060	1808124	1810385	catalase HPII
ybeU	BW25113_RS03365	674964	675671	DUF1266 domain-containing protein YbeU
phnL	BW25113_RS21275	4307032	4307712	ATP-binding cassette protein PhnL
caiF	BW25113_RS00180	34300	34695	DNA-binding transcriptional activator CaiF
phnF	BW25113_RS21305	4311514	4312239	putative transcriptional regulator PhnF
slp	BW25113_RS18170	3647321	3647887	starvation lipoprotein
wzzE	BW25113_RS19655	3962391	3963437	enterobacterial common antigen polysaccharide co-polymerase
paaZ	BW25113_RS07280	1445854	1447899	fused 3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase and oxepin-CoA hydrolase
sufA	BW25113_RS08810	1758275	1758643	iron-sulfur cluster insertion protein SufA
thrA	BW25113_RS00010	337	2799	fused aspartate kinase/homoserine dehydrogenase 1
entC	BW25113_RS03085	620341	621516	isochorismate synthase EntC
yceJ	BW25113_RS05510	1113936	1114502	putative cytochrome b561 YceJ
flgG	BW25113_RS05615	1130185	1130967	flagellar basal-body rod protein FlgG
RS16455	BW25113_RS16455	3315431	3315517	tRNA-Leu
mlaC	BW25113_RS16545	3330615	3331250	intermembrane phospholipid transport system - periplasmic binding protein
torI	BW25113_RS12330	2469789	2469989	CPS-53 (KpLE1) prophage; prophage CPS-53 recombination directionality factor and response regulator inhibitor
yfdK	BW25113_RS12280	2464556	2464996	CPS-53 (KpLE1) prophage; putative tail fiber assembly protein YfdK
ybdN	BW25113_RS03135	630805	632025	putative PAPS reductase/DUF3440 domain-containing protein YbdN
gspD	BW25113_RS17235	3449736	3451688	type II secretion system secretin GspD<sub>&alpha;</sub>
yehD	BW25113_RS11010	2185159	2185701	putative fimbrial protein YehD
ugd	BW25113_RS10595	2091928	2093094	UDP-glucose 6-dehydrogenase
potC	BW25113_RS05845	1178282	1179076	spermidine preferential ABC transporter membrane subunit PotC
RS18665	BW25113_RS18665	3760567	3761525	RHS repeat protein
idnT	BW25113_RS22140	4481023	4482342	L-idonate/5-ketogluconate/gluconate transporter
ydhL	BW25113_RS08625	1719938	1720177	DUF1289 domain-containing protein YdhL
lpd	BW25113_RS00580	124399	125823	lipoamide dehydrogenase
paaF	BW25113_RS07310	1451754	1452521	putative 2,3-dehydroadipyl-CoA hydratase
sseA	BW25113_RS13150	2645853	2646698	3-mercaptopyruvate sulfurtransferase
ykgR	BW25113_RS01530	308852	308953	uncharacterized membrane protein YkgR
ribD	BW25113_RS02145	428911	430014	fused diaminohydroxyphosphoribosylaminopyrimidine deaminase / 5-amino-6-(5-phosphoribosylamino)uracil reductase
hflX	BW25113_RS21685	4390489	4391769	ribosome rescue factor HflX
ygcW	BW25113_RS14425	2892847	2893632	SDR family oxidoreductase
yshB	BW25113_RS20065	4047007	4047117	uncharacterized protein YshB
hcaR	BW25113_RS13230	2661365	2662255	DNA-binding transcriptional dual regulator HcaR
lsrR	BW25113_RS07925	1594545	1595498	DNA-binding transcriptional repressor LsrR
yfbK	BW25113_RS11860	2377474	2379201	IPR002035/DUF3520 domain-containing protein YfbK
folA	BW25113_RS00250	49823	50302	dihydrofolate reductase
aroM	BW25113_RS02025	402884	403561	protein AroM
tcyL	BW25113_RS10040	1991292	1991960	cystine ABC transporter membrane subunit
ibsB	BW25113_RS25675	2147162	2147218	putative toxic peptide IbsB
nrfD	BW25113_RS21150	4280404	4281360	cytochrome c nitrite reductase subunit NrfD
pyrG	BW25113_RS14460	2901388	2903025	CTP synthetase
uvrA	BW25113_RS21075	4260977	4263799	UvrABC excision nuclease subunit A
hypC	BW25113_RS14200	2845223	2845495	hydrogenase maturation factor HypC
truB	BW25113_RS16415	3305192	3306136	tRNA pseudouridine<sup>55</sup> synthase
yjeT	BW25113_RS21700	4394203	4394400	DUF2065 domain-containing protein YjeT
allD	BW25113_RS02655	540770	541819	ureidoglycolate dehydrogenase
eno	BW25113_RS14455	2900002	2901300	enolase
tolA	BW25113_RS03835	771798	773063	Tol-Pal system protein TolA
RS22180	BW25113_RS22180	4488089	4489317	IS3-like element IS2 family transposase
preA	BW25113_RS11200	2228744	2229979	dihydropyrimidine dehydrogenase (NAD<sup>+</sup>) subunit PreA
rnd	BW25113_RS09440	1881121	1882236	RNase D
ushA	BW25113_RS02480	500370	502022	5'-nucleotidase / UDP-sugar hydrolase
mngA	BW25113_RS03785	761500	763416	2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II
yehQ	BW25113_RS11070	2202579	2204579	SWIM zinc finger family protein
acrF	BW25113_RS16935	3408392	3411496	multidrug efflux pump RND permease AcrF
tgt	BW25113_RS02100	421593	422720	tRNA-guanine transglycosylase
yicH	BW25113_RS18975	3823817	3825526	AsmA family protein YicH
yjhF	BW25113_RS22320	4510488	4511837	GntP family permease
ydcO	BW25113_RS07525	1499162	1500376	BenE family transporter YdcO
RS11435	BW25113_RS11435	2282544	2283560	IS5-like element IS5 family transposase
hcaD	BW25113_RS13255	2665406	2666608	putative 3-phenylpropionate/cinnamate dioxygenase ferredoxin reductase subunit
holC	BW25113_RS22110	4473654	4474097	DNA polymerase III subunit &chi;
yijD	BW25113_RS20570	4151699	4152058	DUF1422 domain-containing inner membrane protein YijD
RS05295	BW25113_RS05295	1076812	1077641	FTR1 family protein
RS07915	BW25113_RS07915	1588319	1592343	autotransporter barrel domain-containing lipoprotein
eutM	BW25113_RS12810	2565516	2565809	putative ethanolamine catabolic microcompartment shell protein EutM
yghO	BW25113_RS15485	3122402	3123538	putative DNA-binding transcriptional regulator YghO
RS03440	BW25113_RS03440	691886	691960	tRNA-Gln
ygdI	BW25113_RS14610	2936277	2936504	DUF903 domain-containing lipoprotein YgdI
ycjS	BW25113_RS06890	1371089	1372144	D-glucoside 3-dehydrogenase
lgt	BW25113_RS14705	2958521	2959396	phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
curA	BW25113_RS07610	1513284	1514321	NADPH-dependent curcumin/dihydrocurcumin reductase
waaL	BW25113_RS18810	3790308	3791567	O-antigen ligase
uxaB	BW25113_RS07975	1603486	1604937	tagaturonate reductase
rimI	BW25113_RS22770	4598002	4598448	protein <i>N</i>-acetyltransferase RimI
yagL	BW25113_RS01420	288931	289629	CP4-6 prophage; resolvase-like catalytic domain-containing protein YagL
yadE	BW25113_RS00650	141568	142797	putative polysaccharide deacetylase lipoprotein YadE
RS05280	BW25113_RS05280	1074393	1074602	hypothetical protein
adiA	BW25113_RS21380	4328071	4330338	arginine decarboxylase, degradative
ythA	BW25113_RS25360	4496265	4496390	KpLE2 phage-like element; uncharacterized protein YthA
yjcH	BW25113_RS21125	4274827	4275141	DUF485 domain-containing inner membrane protein YjcH
ybhH	BW25113_RS03995	796215	797267	putative isomerase YbhH
ilvH	BW25113_RS00390	83844	84335	acetolactate synthase / acetohydroxybutanoate synthase, regulatory subunit
fimH	BW25113_RS22475	4538625	4539527	type 1 fimbriae D-mannose specific adhesin
hofO	BW25113_RS17580	3514368	3514808	DNA utilization protein HofO
gadA	BW25113_RS18230	3659540	3660940	glutamate decarboxylase A
rpsU	BW25113_RS15920	3204140	3204355	30S ribosomal protein S21
zupT	BW25113_RS15775	3175909	3176682	divalent metal ion transporter ZupT
ftp	BW25113_RS11555	2303958	2305013	FAD:protein FMN transferase
ygfM	BW25113_RS14975	3013899	3014678	putative oxidoreductase
ghxQ	BW25113_RS14995	3020480	3021847	guanine/hypoxanthine transporter GhxQ
ybhG	BW25113_RS04130	824430	825425	HlyD_D23 family protein YbhG
yfbS	BW25113_RS11970	2402999	2404831	SLC13 family permease
cytR	BW25113_RS20410	4113359	4114384	DNA-binding transcriptional repressor CytR
RS16440	BW25113_RS16440	3311572	3311648	tRNA-Met
yqgB	BW25113_RS15265	3079279	3079410	acid stress response protein YqgB
cpdA	BW25113_RS15735	3169365	3170192	cAMP phosphodiesterase
ygiS	BW25113_RS15675	3159470	3161077	putative deoxycholate binding periplasmic protein
wcaD	BW25113_RS10735	2123142	2124359	colanic acid polymerase
intA	BW25113_RS13680	2749518	2750759	CP4-57 prophage; integrase IntA
oppF	BW25113_RS06500	1300021	1301025	murein tripeptide ABC transporter / oligopeptide ABC transporter ATP binding subunit OppF
glmS	BW25113_RS19385	3905199	3907028	L-glutamine&mdash;D-fructose-6-phosphate aminotransferase
fecI	BW25113_RS22290	4507531	4508052	RNA polymerase sigma factor FecI
RS10385	BW25113_RS10385	2055741	2055816	tRNA-Asn
cbeA	BW25113_RS10465	2070593	2070961	CP4-44 prophage; cytoskeleton bundling-enhancing antitoxin CbeA
yqeB	BW25113_RS14950	3005973	3007598	XdhC-CoxI family protein YqeB
skp	BW25113_RS00890	196969	197454	periplasmic chaperone Skp
rplY	BW25113_RS11405	2275996	2276280	50S ribosomal protein L25
hemY	BW25113_RS19745	3980046	3981242	protein HemY
ddpB	BW25113_RS07790	1554164	1555186	putative D,D-dipeptide ABC transporter membrane subunit DdpB
ycjQ	BW25113_RS06880	1369220	1370272	D-guloside 3-dehydrogenase
yaiW	BW25113_RS01955	393328	394422	surface-exposed outer membrane lipoprotein
narJ	BW25113_RS06400	1280595	1281305	nitrate reductase 1 molybdenum cofactor assembly chaperone
rplV	BW25113_RS17185	3443260	3443592	50S ribosomal protein L22
ansP	BW25113_RS07630	1518738	1520237	L-asparagine transporter
bdcR	BW25113_RS22070	4463941	4464534	putative transcriptional regulator BdcR
rapA	BW25113_RS00300	60358	63264	RNA polymerase-binding ATPase and RNAP recycling factor
ompF	BW25113_RS04820	981350	982438	outer membrane porin F
metI	BW25113_RS00995	217455	218108	L-methionine/D-methionine ABC transporter membrane subunit
yqaA	BW25113_RS13990	2809871	2810299	DedA family protein YqaA
metG	BW25113_RS11030	2187779	2189812	methionine&mdash;tRNA ligase
pspA	BW25113_RS06835	1362336	1363004	phage shock protein A
yncG	BW25113_RS07635	1520504	1521121	putative glutathione <i>S</i>-transferase YncG
ptsN	BW25113_RS16605	3339937	3340428	phosphotransferase system enzyme IIA(Ntr)
rpsL	BW25113_RS17320	3467537	3467911	30S ribosomal protein S12
hypB	BW25113_RS14195	2844360	2845232	hydrogenase isoenzymes nickel incorporation protein HypB
yohO	BW25113_RS11100	2209136	2209243	UPF0387 family protein YohO
RS02915	BW25113_RS02915	578331	578591	tail fiber assembly protein
hscB	BW25113_RS13180	2652311	2652826	[Fe-S] cluster biosynthesis co-chaperone HscB
yifK	BW25113_RS19710	3974247	3975632	threonine/serine:H<sup>+</sup> symporter ThrP
rpsG	BW25113_RS17315	3466901	3467440	30S ribosomal protein S7
yffM	BW25113_RS12745	2554727	2554972	CPZ-55 prophage; uncharacterized protein YffM
dgoA	BW25113_RS19195	3866355	3866972	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
fliL	BW25113_RS10165	2013099	2013563	flagellar protein FliL
yffR	BW25113_RS12770	2557339	2557731	CPZ-55 prophage; uncharacterized protein YffR
opgC	BW25113_RS05450	1103240	1104397	osmoregulated periplasmic glucans (OPG) biosynthesis protein C
amyA	BW25113_RS10085	1999637	2001124	alpha-amylase
RS04585	BW25113_RS04585	921340	921427	tRNA-Ser
cbrA	BW25113_RS19180	3862737	3863801	colicin M resistance protein
ibsE	BW25113_RS24335	3188500	3188559	toxic peptide IbsE
dsbD	BW25113_RS21490	4353162	4354859	thiol-disulfide exchange protein DsbD
RS22170	BW25113_RS22170	4486492	4487757	integrase arm-type DNA-binding domain-containing protein
yhcD	BW25113_RS16665	3356166	3358547	putative fimbrial usher protein YhcD
thiM	BW25113_RS10975	2177992	2178780	hydroxyethylthiazole kinase
hscA	BW25113_RS13175	2650444	2652294	iron-sulfur cluster biosynthesis chaperone HscA
folB	BW25113_RS15885	3197580	3197948	dihydroneopterin aldolase
rplN	BW25113_RS17160	3441137	3441508	50S ribosomal protein L14
yhdP	BW25113_RS16820	3385817	3389617	phospholipid transport factor YhdP
mdaB	BW25113_RS15715	3165889	3166470	NADPH:quinone oxidoreductase MdaB
ygjH	BW25113_RS15965	3214274	3214606	putative tRNA-binding protein YgjH
yddE	BW25113_RS07680	1529222	1530115	PF02567 family protein YddE
ybgC	BW25113_RS03820	770208	770612	esterase/thioesterase
matP	BW25113_RS04955	1013941	1014393	macrodomain Ter protein
hprR	BW25113_RS10285	2031633	2032304	DNA-binding transcriptional dual regulator HprR
chiP	BW25113_RS03510	703790	705196	chitooligosaccharide outer membrane channel
nagE	BW25113_RS03500	699400	701346	N-acetylglucosamine-specific PTS enzyme IIABC component
ppiB	BW25113_RS02695	549399	549893	peptidyl-prolyl <i>cis-trans</i> isomerase B
RS13765	BW25113_RS13765	2765526	2766535	arsenic transporter
yhhQ	BW25113_RS17970	3602577	3603242	queuosine precursor transporter
ybiI	BW25113_RS04170	833646	833912	zinc finger domain-containing protein YbiI
ybgU	BW25113_RS25495	750130	750237	protein YbgU
atpG	BW25113_RS19405	3910762	3911625	ATP synthase F<sub>1</sub> complex subunit &gamma;
ompL	BW25113_RS20110	4056963	4057655	putative outer membrane porin L
ynbE	BW25113_RS07255	1439944	1440129	lipoprotein YnbE
otsA	BW25113_RS09925	1973669	1975093	trehalose-6-phosphate synthase
ftsB	BW25113_RS14300	2865868	2866179	cell division protein FtsB
yncJ	BW25113_RS07540	1503091	1503321	DUF2554 domain-containing protein YncJ
lpxH	BW25113_RS02690	548674	549396	UDP-2,3-diacylglucosamine diphosphatase
hofP	BW25113_RS17575	3513974	3514378	DNA utilization protein HofP
lyxK	BW25113_RS18585	3740444	3741940	L-xylulose kinase
ylcG	BW25113_RS02835	569186	569326	DLP12 prophage; uncharacterized protein YlcG
clcA	BW25113_RS00780	171594	173015	chloride:H<sup>+</sup> antiporter ClcA
yffB	BW25113_RS12885	2584606	2584962	putative reductase YffB
zraR	BW25113_RS20775	4193248	4194573	DNA-binding transcriptional activator ZraR
mntS	BW25113_RS04240	848325	848453	small protein MntS
accB	BW25113_RS16880	3398795	3399265	biotin carboxyl carrier protein
pptA	BW25113_RS07665	1527309	1527542	tautomerase PptA
yccM	BW25113_RS05160	1047745	1048818	putative electron transport protein YccM
zitB	BW25113_RS03900	779338	780279	Zn<sup>2+</sup>/Cd<sup>2+</sup>/Ni<sup>2+</sup>/Cu<sup>2+</sup> exporter
mdtO	BW25113_RS21195	4290844	4292895	putative multidrug efflux pump subunit MdtO
pdeA	BW25113_RS12495	2509122	2511311	putative cyclic di-GMP phosphodiesterase PdeA
trpR	BW25113_RS22885	4622577	4622903	DNA-binding transcriptional repressor TrpR
frmA	BW25113_RS01840	373918	375027	<i>S</i>-(hydroxymethyl)glutathione dehydrogenase
cbpA	BW25113_RS05200	1058311	1059231	curved DNA-binding protein
pntB	BW25113_RS08385	1669229	1670617	pyridine nucleotide transhydrogenase subunit &beta;
ybeF	BW25113_RS03265	655881	656834	putative DNA-binding transcriptional regulator YbeF
feoC	BW25113_RS17670	3536087	3536323	ferrous iron transport protein FeoC
yniB	BW25113_RS09030	1802954	1803490	uncharacterized protein YniB
ldrB	BW25113_RS06335	1265159	1265266	small toxic polypeptide LdrB
yggX	BW25113_RS15385	3097452	3097727	putative Fe<sup>2+</sup>-trafficking protein
yaaJ	BW25113_RS00040	6529	7959	putative transporter YaaJ
ytfP	BW25113_RS21940	4437711	4438052	&gamma;-glutamylamine cyclotransferase family protein YtfP
kefF	BW25113_RS00240	47246	47776	regulator of KefC-mediated potassium transport and quinone oxidoreductase
yfiB	BW25113_RS13600	2736984	2737466	lipoprotein YfiB
recT	BW25113_RS07085	1408241	1409050	Rac prophage; recombinase RecT
elfC	BW25113_RS04875	994672	997272	putative fimbrial usher protein ElfC
pgaB	BW25113_RS05330	1083295	1085313	poly-&beta;-1,6-<i>N</i>-acetyl-D-glucosamine <i>N</i>-deacetylase and &beta;-1,6 glycoside hydrolase
yfhH	BW25113_RS13350	2692118	2692966	putative DNA-binding transcriptional regulator YfhH
RS12500	BW25113_RS12500	2511520	2511595	tRNA-Ala
creC	BW25113_RS22915	4626513	4627937	sensory histidine kinase CreC
metE	BW25113_RS19880	4006413	4008674	cobalamin-independent homocysteine transmethylase
ydiJ	BW25113_RS08825	1759886	1762942	D-2-hydroxyglutarate dehydrogenase
rplF	BW25113_RS17135	3438966	3439499	50S ribosomal protein L6
waaC	BW25113_RS18805	3789339	3790298	ADP-heptose:LPS heptosyltransferase 1
ybfB	BW25113_RS03630	729232	729558	uncharacterized protein YbfB
hdhA	BW25113_RS08470	1691530	1692297	7-&alpha;-hydroxysteroid dehydrogenase
cbpM	BW25113_RS05195	1058006	1058311	chaperone modulator CbpM
yiiR	BW25113_RS20345	4102243	4102683	DUF805 domain-containing protein YiiR
oppC	BW25113_RS06490	1298091	1298999	murein tripeptide ABC transporter / oligopeptide ABC transporter inner membrane subunit OppC
menC	BW25113_RS11815	2368479	2369441	o-succinylbenzoate synthase
yiiM	BW25113_RS20295	4092750	4093424	6-hydroxyaminopurine reductase
iraM	BW25113_RS06020	1207136	1207459	anti-adaptor protein IraM
narK	BW25113_RS06385	1273413	1274804	nitrate:nitrite antiporter NarK
ydcH	BW25113_RS07480	1492908	1493132	DUF465 domain-containing protein YdcH
bcsQ	BW25113_RS18320	3688593	3689345	cellulose biosynthesis protein BcsQ
yhcC	BW25113_RS16640	3346480	3347409	radical SAM family oxidoreductase YhcC
yliI	BW25113_RS04345	874198	875313	aldose sugar dehydrogenase YliI
emrD	BW25113_RS19095	3847282	3848466	multidrug efflux pump EmrD
yjjZ	BW25113_RS22740	4595621	4595857	DUF1435 domain-containing protein YjjZ
yfhL	BW25113_RS13355	2693022	2693282	putative 4Fe-4S cluster-containing protein YfhL
cpxP	BW25113_RS20310	4095748	4096248	periplasmic protein CpxP
arfA	BW25113_RS17065	3431790	3432008	alternative ribosome-rescue factor A
ygiL	BW25113_RS15795	3178773	3179324	putative fimbrial protein YgiL
lpxL	BW25113_RS05495	1111118	1112038	lauroyl acyltransferase
malF	BW25113_RS20935	4233459	4235003	maltose ABC transporter membrane subunit MalF
